bioclimatic_zone,structure,category,physiography_limit,code,map_class,target,macrogroup_code,macrogroup,group_code,group
1. Temperate,coniferous tree,mesic vegetation,subalpine,13,Alaska Pacific Mountain Hemlock Subalpine Woodland Mesic,alliance,M025,Vancouverian Subalpine-High Montane Forest,G850,Alaskan Mountain Hemlock Forest
1. Temperate,coniferous tree,mesic vegetation,subalpine,14,Alaska Pacific Sitka Spruce Subalpine Woodland Mesic,alliance,M025,Vancouverian Subalpine-High Montane Forest,G850,Alaskan Mountain Hemlock Forest
1. Temperate,coniferous tree,mesic vegetation,none,15,Alaska Pacific Subalpine Fir (-Mountain Hemlock) Forest Mesic,alliance,M025,Vancouverian Subalpine-High Montane Forest,G850,Alaskan Mountain Hemlock Forest
1. Temperate,coniferous tree,mesic vegetation,subalpine,16,Alaska Pacific Subalpine Fir Subalpine Woodland Mesic,alliance,M025,Vancouverian Subalpine-High Montane Forest,G850,Alaskan Mountain Hemlock Forest
1. Temperate,mixed tree,wet vegetation,none,21,Alaska Pacific Cottonwood - Sitka Spruce / Western Hemlock Riparian Forest,alliance,M035,North Pacific Forested Wetland,G852,Alaska Pacific Riparian Forest
1. Temperate,deciduous tree,wet vegetation,none,22,Alaska Pacific Cottonwood Riparian Forest,alliance,M035,North Pacific Forested Wetland,G852,Alaska Pacific Riparian Forest
1. Temperate,deciduous tree,wet vegetation,none,23,Alaska Pacific Red Alder Riparian Forest,alliance,M035,North Pacific Forested Wetland,G852,Alaska Pacific Riparian Forest
1. Temperate,coniferous tree,wet vegetation,none,24,Alaska Pacific Sitka Spruce Riparian Forest,alliance,M035,North Pacific Forested Wetland,G852,Alaska Pacific Riparian Forest
1. Temperate,coniferous tree,wet vegetation,none,31,Alaska Pacific Sitka Spruce - Mountain Hemlock Forest Wet,alliance,M035,North Pacific Forested Wetland,G854,Alaska Pacific Swamp
1. Temperate,coniferous tree,wet vegetation,none,32,Alaska Pacific Sitka Spruce Wet Forest,alliance,M035,North Pacific Forested Wetland,G854,Alaska Pacific Swamp
1. Temperate,coniferous tree,wet vegetation,none,33,Alaska Pacific Western Hemlock (-Sitka Spruce) Forest Wet,,M035,North Pacific Forested Wetland,G854,Alaska Pacific Swamp
1. Temperate,coniferous tree,wet vegetation,none,34,Alaska Pacific Yellow Cedar (-Western Hemlock / Mountain Hemlock) Forest Wet,alliance,M035,North Pacific Forested Wetland,G854,Alaska Pacific Swamp
1. Temperate,unvegetated,barren,coastal,41,Alaska Pacific Coastal & Estuarine Barren,subgroup,M059,Pacific Coastal Beach & Dune,G498,North Pacific Maritime Dune & Coastal Beach
1. Temperate,herbaceous,beach,coastal,42,Alaska Pacific Herbaceous Coastal Dune & Beach,subgroup,M059,Pacific Coastal Beach & Dune,G498,North Pacific Maritime Dune & Coastal Beach
1. Temperate,herbaceous,tidal marsh,coastal,43,Alaska Pacific Coastal Salt Marsh,group,M081,North American Pacific Coastal Salt Marsh,G499,Temperate Pacific Salt Marsh
1. Temperate,herbaceous,tidal marsh,coastal,44,Alaska Pacific Coastal Algal Flat,group,M106,Temperate Pacific Seaweed Intertidal Vegetation,G385,North American Pacific Intertidal Algal Flat
1. Temperate,unvegetated,barren,alpine,51,Alaska Pacific Alpine Barren & Sparsely Vegetated,group,M101,North Pacific Coastal Alpine Tundra,G1203,Alaska Pacific Alpine Bedrock & Scree
1. Temperate,herbaceous,mesic vegetation,alpine,52,Alaska Pacific Alpine Mesic Meadow,group,M101,North Pacific Coastal Alpine Tundra,G1191,Alaska Pacific Alpine Mesic Meadow
1. Temperate,dwarf shrub,mesic vegetation,alpine,53,Alaska Pacific Alpine Dryas Dwarf Shrub,alliance,M101,North Pacific Coastal Alpine Tundra,G968,Alaska Pacific Alpine Shrubland
1. Temperate,dwarf shrub,mesic vegetation,alpine,54,Alaska Pacific Alpine Ericaceous Dwarf Shrub,subgroup,M101,North Pacific Coastal Alpine Tundra,G968,Alaska Pacific Alpine Shrubland
1. Temperate,dwarf shrub,mesic vegetation,alpine,55,Alaska Pacific Alpine Willow (-Dryas) Dwarf Shrub,alliance,M101,North Pacific Coastal Alpine Tundra,G968,Alaska Pacific Alpine Shrubland
1. Temperate,shrub,mesic vegetation,none,61,Alaska Pacific Alder Mesic,subgroup,M172,North Pacific Coastal Lowland-Montane Grassland & Shrubland,G354,Alaska Pacific Alder - Salmonberry - Willow Shrubland
1. Temperate,shrub,mesic vegetation,none,62,Alaska Pacific Alder-Willow Mesic,subgroup,M172,North Pacific Coastal Lowland-Montane Grassland & Shrubland,G354,Alaska Pacific Alder - Salmonberry - Willow Shrubland
1. Temperate,shrub,mesic vegetation,none,63,Alaska Pacific Ericaceous (-Birch) Shrub Mesic,subgroup,M172,North Pacific Coastal Lowland-Montane Grassland & Shrubland,G354,Alaska Pacific Alder - Salmonberry - Willow Shrubland
1. Temperate,shrub,mesic vegetation,none,64,Alaska Pacific Salmonberry Mesic,subgroup,M172,North Pacific Coastal Lowland-Montane Grassland & Shrubland,G354,Alaska Pacific Alder - Salmonberry - Willow Shrubland
1. Temperate,shrub,mesic vegetation,none,65,Alaska Pacific Willow Mesic,subgroup,M172,North Pacific Coastal Lowland-Montane Grassland & Shrubland,G354,Alaska Pacific Alder - Salmonberry - Willow Shrubland
1. Temperate,shrub,dry vegetation,none,66,Alaska Pacific Shrub Dry,subgroup,M172,North Pacific Coastal Lowland-Montane Grassland & Shrubland,G354,Alaska Pacific Alder - Salmonberry - Willow Shrubland
1. Temperate,herbaceous,mesic vegetation,none,71,Alaska Pacific Calamagrostis - Forb Herbaceous Mesic,subgroup,M172,North Pacific Coastal Lowland-Montane Grassland & Shrubland,G355,Alaska Pacific Grassland & Meadow
1. Temperate,herbaceous,mesic vegetation,none,72,Alaska Pacific Forb (-Fern) Herbaceous Mesic,subgroup,M172,North Pacific Coastal Lowland-Montane Grassland & Shrubland,G355,Alaska Pacific Grassland & Meadow
1. Temperate,herbaceous,wet vegetation,none,73,Alaska Pacific Calamagrostis - Sedge Wet Meadow (Mineral/Riverine),subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1208,Alaska Pacific Marsh & Wet Meadow
1. Temperate,herbaceous,wet vegetation,none,74,Alaska Pacific Forb - Graminoid Wet Meadow (Mineral/Riverine),subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1208,Alaska Pacific Marsh & Wet Meadow
1. Temperate,herbaceous,freshwater marsh,none,75,Alaska Pacific Freshwater Marsh,subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1208,Alaska Pacific Marsh & Wet Meadow
1. Temperate,herbaceous,wet vegetation,none,76,Alaska Pacific Sedge Wet Meadow (Mineral/Riverine),subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1208,Alaska Pacific Marsh & Wet Meadow
1. Temperate,NULL,NULL,NULL,77,Alaska Pacific Freshwater Aquatic Vegetation,omit,M109,Western North American Freshwater Aquatic Vegetation,G544,Western Temperate Freshwater Aquatic Vegetation
1. Temperate,shrub,wet vegetation,none,81,Alaska Pacific Alder-Willow Wet,subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1209,Alaska Pacific Shrub Wetland
1. Temperate,shrub,wet vegetation,none,82,Alaska Pacific Ericaceous (-Birch) Shrub Wet,subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1209,Alaska Pacific Shrub Wetland
1. Temperate,shrub,wet vegetation,none,83,Alaska Pacific Willow Wet,subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1209,Alaska Pacific Shrub Wetland
1. Temperate,shrub,mesic vegetation,riverine,84,Alaska Pacific Alder-Willow Active Floodplain,subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1210,Alaska Pacific Shrub & Graminoid Floodplain
1. Temperate,unvegetated,barren,riverine,85,Alaska Pacific Barren & Sparsely Vegetated Active Floodplain,alliance,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1210,Alaska Pacific Shrub & Graminoid Floodplain
1. Temperate,dwarf shrub,mesic vegetation,riverine,86,Alaska Pacific Dryas Dwarf Shrub Active Floodplain,alliance,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1210,Alaska Pacific Shrub & Graminoid Floodplain
1. Temperate,herbaceous,mesic vegetation,riverine,87,Alaska Pacific Forb-Graminoid Active Floodplain,alliance,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1210,Alaska Pacific Shrub & Graminoid Floodplain
1. Temperate,shrub,mesic vegetation,riverine,88,Alaska Pacific Willow Active Floodplain,subgroup,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1210,Alaska Pacific Shrub & Graminoid Floodplain
